Designator,Mid X,Mid Y,Layer,Rotation
C1,17.60,12.81,Top,180.0
C2,24.59,-13.79,Top,0.0
C3,24.59,-12.75,Top,0.0
C4,23.98,-5.71,Top,0.0
C5,23.98,-4.45,Top,0.0
C6,23.98,-3.18,Top,0.0
C7,23.98,-1.91,Top,0.0
C8,23.98,-0.64,Top,0.0
C9,23.98, 0.64,Top,0.0
C10,24.56, 1.73,Top,0.0
C11,24.56, 2.77,Top,0.0
C12,24.56, 4.85,Top,0.0
C13,24.56, 7.98,Top,0.0
C14,24.56,10.41,Top,0.0
C15,24.56, 9.35,Top,0.0
C16,24.56,11.79,Top,0.0
C17,24.56,13.87,Top,0.0
C18,23.98,-6.99,Top,0.0
C19,23.98,-8.26,Top,0.0
C20,11.54, 6.53,Top,270.0
C21,17.57, 1.24,Top,0.0
C22,24.00,-9.53,Top,0.0
C23,20.89,-0.37,Top,270.0
C24,21.60, 3.24,Top,0.0
D1,12.88, 1.52,Top,180.0
D4,14.92, 5.59,Top,180.0
D5,14.92, 3.74,Top,0.0
D6,14.92, 7.45,Top,180.0
J1,32.06, 0.00,Top,90.0
J3,10.19,-12.29,Top,180.0
L1,13.54,10.76,Top,270.0
L2,12.92,-1.78,Top,90.0
Q1,17.31,-1.79,Top,90.0
Q4, 8.95, 7.44,Top,270.0
R1,24.59,-11.71,Top,180.0
R2,24.59,-10.67,Top,0.0
R3,17.61,10.76,Top,0.0
R4,24.56,12.83,Top,0.0
R5,26.64,-12.75,Top,0.0
R6,26.64,13.87,Top,0.0
R7,24.56, 3.81,Top,0.0
R8, 8.44, 9.72,Top,180.0
R9, 8.45, 5.18,Top,180.0
R10,21.60, 5.30,Top,0.0
R11,21.60, 7.36,Top,0.0
R12,24.56, 5.89,Top,0.0
R13,24.56, 6.93,Top,0.0
