Comment,Designator,Footprint,LCSC Part #
0.1uF,C24,C0603,
0.22R,R2 R9,R0402,
0.47uF,C3 C17,C0402,
0R,R4 R5 R6 R7,R0402,
0R,R10 R11,R0603,
0R,R12 R13,R0402,
1M,R1 R8,R0402,
1R,R3,R0603,
1uF,C10 C11 C13 C14 C15 C16,C0402,
2.2uF,C12,C0402,
4.7uF,C1,C0603,
4.7uF,C2,C0402,
4.7uF,C21,C0603,
10uF,C4 C5 C6 C7 C8 C9 C18 C19,C0402,
10uF,C20,C0603,
10uF,C22,C0402,
10uH,L1 L2,SMNR4020,C135265
100uF,C23,C0805,
AFC24-S50FIC-00,J1,JUSHUO_AFC24-S50FIC-00,
AO3400A,Q4,SOT23-3,C20917
MBR0530,D1 D4 D5 D6,SOD123-F,
SI2301,Q1,SOT23,
USUP_SPI_CONNECTOR_VERT,J3,1X06_1MM_RA_VERT,C145963
